source;target;timestamp
FL0030;GE0014;1482-07-01
PO0006;SP07SP001945;1482-09-07
SV0035;SP07SP001945;1482-09-07
GE0020;GE0020;1484-04-01
GE0020;GE0021;1484-04-01
GE0020;AD0007;1484-04-01
GE0021;GE0020;1484-04-01
GE0021;GE0021;1484-04-01
GE0021;AD0007;1484-04-01
SP07SP001886;GE0020;1484-04-01
SP07SP001886;GE0021;1484-04-01
SP07SP001886;AD0007;1484-04-01
GE0020;GE0020;1484-05-01
GE0020;GE0021;1484-05-01
GE0020;AD0007;1484-05-01
GE0021;GE0020;1484-05-01
GE0021;GE0021;1484-05-01
GE0021;AD0007;1484-05-01
SP07SP001887;GE0020;1484-05-01
SP07SP001887;GE0021;1484-05-01
SP07SP001887;AD0007;1484-05-01
OD0001;GE0017;1484-06-01
OD0001;CL0002;1484-06-01
CL0002;GE0017;1484-06-01
CL0002;CL0002;1484-06-01
SO0003;SP01SP001616;1484-06-01
SO0003;PO0003;1484-06-01
SO0003;CG0018;1484-06-01
PO0003;SP01SP001616;1484-06-01
PO0003;PO0003;1484-06-01
PO0003;CG0018;1484-06-01
CG0018;SP01SP001616;1484-06-01
CG0018;PO0003;1484-06-01
CG0018;CG0018;1484-06-01
FR0001;SP01SP001616;1484-07-01
FR0001;PO0003;1484-07-01
FR0001;CG0018;1484-07-01
PO0003;SP01SP001616;1484-07-01
PO0003;PO0003;1484-07-01
PO0003;CG0018;1484-07-01
CG0018;SP01SP001616;1484-07-01
CG0018;PO0003;1484-07-01
CG0018;CG0018;1484-07-01
GE0019;GE0022;1484-08-03
GE0019;AZ0046;1484-08-03
GE0023;GE0022;1484-08-03
GE0023;AZ0046;1484-08-03
SP01SP001894;GE0003;1485-02-02
SP01SP001894;GE0019;1485-02-02
SP01SP001894;GE0014;1485-02-02
SP07SP001886;GE0003;1485-02-02
SP07SP001886;GE0019;1485-02-02
SP07SP001886;GE0014;1485-02-02
PI0012;AZ0051;1485-02-02
FL0030;AZ0051;1485-02-02
SP0028;SP0055;1485-02-10
SP0028;GE0019;1485-02-10
SP0028;GE0023;1485-02-10
FL0030;SP0055;1485-02-10
FL0030;GE0019;1485-02-10
FL0030;GE0023;1485-02-10
FL0030;SP0055;1485-02-10
FL0030;GE0019;1485-02-10
FL0030;GE0023;1485-02-10
OD0001;OD0001;1485-03-02
OD0001;GE0019;1485-03-02
OD0001;GE0023;1485-03-02
SP07SP001897;OD0001;1485-03-02
SP07SP001897;GE0019;1485-03-02
SP07SP001897;GE0023;1485-03-02
SP07SP001895;DN0043;1485-03-10
SP07SP001895;GE0024;1485-03-10
SP07SP001896;DN0043;1485-03-10
SP07SP001896;GE0024;1485-03-10
SP07SP001895;FR0001;1485-03-20
SP07SP001895;PO0003;1485-03-20
SP07SP001895;CG0018;1485-03-20
SP07SP001886;FR0001;1485-03-20
SP07SP001886;PO0003;1485-03-20
SP07SP001886;CG0018;1485-03-20
SP07SP001895;GE0022;1485-04-02
SP07SP001895;FR0007;1485-04-02
SP07SP001886;GE0022;1485-04-02
SP07SP001886;FR0007;1485-04-02
GE0013;UK0115;1485-05-03
GE0013;RV0001;1485-05-03
GE0023;UK0115;1485-05-03
GE0023;RV0001;1485-05-03
OD0001;OD0001;1485-05-10
OD0001;SP07SP001889;1485-05-10
GE0024;OD0001;1485-05-10
GE0024;SP07SP001889;1485-05-10
GE0023;SP01SP001890;1485-06-04
GE0023;SP07SP001891;1485-06-04
GE0003;SP01SP001890;1485-06-04
GE0003;SP07SP001891;1485-06-04
OD0001;SP01SP001892;1485-06-10
OD0001;FL0030;1485-06-10
CL0002;SP01SP001892;1485-06-10
CL0002;FL0030;1485-06-10
SP0028;SP07SP001893;1485-07-04
SP0028;SP02CO000277;1485-07-04
PI0012;SP07SP001893;1485-07-04
PI0012;SP02CO000277;1485-07-04
